Michael Card,Will You Not Listen?
Soundgarden,Uncovered
Alexi Murdoch,Dream About Flying
Big Star,What's Going Ahn
Son House,Government Fleet Blues
General Electrics,F'acing That Void (with Maroons)
Klaus Lage Band,Dann Kamst Du
Talking Heads,And She Was
Blackalicious,One Of A Kind
The Raconteurs,Attention
Paolo Nutini,Jenny Don't Be Hasty [Live At Isle Of Wight Festival] (EP Version)
John Mayer,Everyday I Have The Blues
Yellowcard,Afraid
Blue Sky Black Death,Shoot You Dead
Beats Antique,Slow
Vilma E Vampiros Palma,Sos Como El Sol
Despistaos,Lo que hemos vivido
Sleater-kinney,Call The Doctor
Jedi Mind Tricks,Verses Of The Bleeding
Cockney Rejects,Oi_ Oi_ Oi
Otis Redding,The Boston Monkey
Haloo Helsinki!,Elävät ja kuolleet
Joe Satriani,Surfing With The Alien
Alesana,A Most Profound Quiet (album)
Jawbreaker,Ache
Theory Of A Deadman,In The Middle (Album Version)
System of a Down,This Cocaine Makes Me Feel Like I'm On This Song
Ryan Adams,Rosebud
Seventh Star,Game Over
Junior Boys,Last Exit
Thrice,The Beltsville Crucible
Cake,Thrills
No Te Va Gustar,No Llegas A Mí
Didier Henry_ Stéphane Petitjean,Dernier voeu
Susan Ashton,Lonely River
Rancid,Hyena
Tiny Vipers,The Downward (Album)
Estopa,Pastillas De Freno
Porcupine Tree,Russia On Ice
Sean Kingston,Colors (2007) (Reggae Remix featuring Vybz Kartel and Kardinal Offishall)
Jimmy Eat World,(Splash) Turn Twist
Interpol,Pace Is The Trick
Avril Lavigne,Too Much To Ask
Buzzcocks,Lester Sands (Drop In The Ocean)
Superchick,Still Here
Lil Boosie,Cold Blooded
Ernie K Doe,here come the girls
Collective Soul,Everything  (LP Version)
Enya,The Promise
Silver Apples,You And I
Gouryella,Ligaya (Original Extended)
Machine Head,A Thousand Lies (Album Version)
Gillian Welch,Dear Someone
Maroon 5 / Mary J. Blige,Wake Up Call
Aretha Franklin,Never Let Me Go  (LP Version)
Lionel Richie,The Only One
Thin Lizzy,Rosalie/Cowgirl's Song
Future Prophecies,Raw
They Might Be Giants,The Bells Are Ringing (LP Version)
Il Divo,Dentro Un Altro Si
Dykes' Magic City Trio,Frankie
Cat Stevens,Miles From Nowhere
Deerhunter,Twilight At Carbon Lake
Brooke Waggoner,Find Her Floods
Neil Finn,She Will Have Her Way
Dinosaur Feathers,Know Your Own Strength
The Ataris,San Dimas High School Football Rules
Jody McBrayer,Love Can Break Your Fall  (This Is Who I Am Album Version)
Cali,La Fin Du Monde Pour Dans 10 Minutes
Da Lench Mob,King Of The Jungle
Kenny Rogers,Small Dark Clouds
Sia,Numb
Us3,Grand Groove
James Intveld,Teardrops Are Falling
The Smiths,Frankly_ Mr. Shankly
Noisettes,Speed Horn
The Paramounts,Poison Ivy
Sonny & Cher,It's The Little Things (LP/Single Version)
Blackalicious,Sky Is Falling
The Roches,O Little Town Of Bethlehem
Gym Class Heroes,Pillmatic (Album Version)
Blessid Union Of Souls,I Believe
Resorte,Volátil
Fine Young Cannibals,I'm Not Satisfied
Breakage,Clarendon
Denise Jannah,A Sailboat In The Moonlight
Saving Abel,Goodbye
Herbie Hancock,Mercy Street
KMD,What A Nigga Know?
The Clash,Gates Of The West
Slash's Snakepit,Lower
Jonn Serrie/Gary Stroutsos,The Ocean Of Night
Hector Couto,Comparsa
Symphony X,The accolade
State Radio,Still & Silent
Bauhaus,Hollow Hills
Portugal. The Man,Work All Day
Savatage,Chance
Jay Tee,What You Got For Me
The Menzingers,Straight To Hell
Nick Cave & Warren Ellis,Rather Lovely Thing
Pretty Girls Make Graves,Ghosts In The Radio
Sam Butera & The Witnesses,I Love Paris (1999 Digital Remaster)
Big Star,Life Is White
Dilated Peoples Featuring Tha Liks,Heavy Rotation
Ten Years After,Baby Won't You Let Me Rock 'N' Roll You
Garbage,Not My Idea
Jazzanova,That Night (Wahoo mix)
Bury Your Dead,A Wishing Well (Album Version)
Avi Buffalo,One Last
Catch 22,Alone In A Crowd (Album Version)
Familjen,Det var jag
Martina Topley Bird,Lullaby
Sleater-kinney,Sympathy
Three Drives,Greece 2000
Ivan Parker,Rise Again (Best Of Homecoming 2001 Version)
Secret Chiefs 3,Crosswinds
Bobby McFerrin,Windows
Los Lobos,Down On the Riverbed
Vic Chesnutt,Flirted With You All My Life
Marc Anthony,Y Sigues Siendo Tu
A Perfect Circle,Counting Bodies Like Sheep To The Rhythm Of The War Drums (Explicit Version)
The Streets,Wouldn't Have It Any Other Way
The Temptations,Treat Her Like A Lady
CSS,Rat Is Dead [Rage]
Quicksand,Fazer
The Turtles,She Always Leaves Me Laughing
William Orbit,Scorpion
Machine Head,American High (Hellalive) (Album Version)
No Fun At All,In A Rhyme
45 Grave,Evil
DJ Krush & Toshinori Kondo,Tobira-1
Beanfield,Welcome feat. Marzenka
Enrique Iglesias,Don't Turn Off The Lights
Juno Reactor,High Energy Protons
Manowar,The Power
M.O.P.,Ante Up (Robbin Hoodz Theory)
Breathe,Liberties Of Love
Doves,Last Broadcast
Los Lobos,River of Fools
Alpinestars,Snow Patrol (Part 1)
Junior Kimbrough,Lonesome Road
Prototypes,Gentleman
Live,Gas Hed Goes West
The Cat Empire,One Four Five
Hundred Reasons,Kill Your Own
The Aggrolites,Feelin' Alright
Feist,I Feel It All
Tim Buckley,Devil Eyes
New York Dolls,Lonely Planet Boy
Toranja,Laços
Black Label Society,Born To Lose
Ludacris / Shawnna / Lil Fate,P-Poppin'
Ligeia,One Night Stand
Fake Blood,Mars
Sonny & Cher,What Now My Love (LP Version)
Zuco 103,Saci (Ghost Boy In The Whirlwind)
Bouncing Souls_ The,Private Radio
Asylum Street Spankers,Winning the War on Drugs
Herb Alpert And The Tijuana Brass,Tangerine
Luis Fonsi,Aunque Estes Con El
Oliver Koletzki feat. Fran,Hypnotized
Divine Inspiration,The Way (Put Your Hand In My Hand)
Bobby McFerrin,Moondance (LP Version)
The Go-Go's,This Town
Eric Burdon,When I Was Young
Les Misérables - 10th Anniversary Concert,Prologue
Dwele,Holla
Fear,Foreign Policy
Maylene And The Sons Of Disaster,The Day Hell Broke Loose At Sicard Hollow
Malú,Cambiarás
Jimmy Eat World,Closer
Mariah Carey,It's A Wrap
Twinz,Thelo Na Se Do
YACHT,I Believe In You
Sixtoo featuring Damo Suzuki of CAN,Storm Clouds & Silver Linings
Erik Linder,Hur kan jag tro på kärlek
John Mayall,Accidental Suicide
Porcupine Tree,Waiting Phase One
Paperboys,If I Don't Call
Burning Airlines,Flood of Foreign Capital
Fleetwood Mac,First Train Home
Saliva,F*** All Y'all
Athlete,Tourist
Strapping Young Lad,You Suck
Yonder Mountain String Band,Mossy Cow
Amparanoia,Tiempo Pa Mi
Tiago Bettencourt,Canção Simples
Bon Jovi,Rockin' In The Free World
Bitty McLean,Baby Tonight
Army Of Lovers,Crucified
Breathe Carolina,Welcome to Savannah
James Taylor,Sweet Baby James
Bonobo,1009
Proyecto Uno,Latinos (Album Version)
Andrea Echeverri,Menos Mal
2Pac,Starin' Through My Rear View
Dario Marianelli,The Half Killed
Bloc Party,Biko
Mark Knopfler / Emmylou Harris,Beachcombing
Mariah Carey,Betcha Gon' Know (the prologue)
Tanya Donelly,Goat Girl
The Oppressed,Ultra Violence
Poison The Well,Pleasant Bullet (Album Version)
Pan-Pot,Ape Shall Never Kill Ape
Lightnin' Hopkins,Mama's Baby Child
Sleeping At Last,Needle & Thread
Pet Shop Boys,Always
Los Fabulosos Cadillacs,Muy_ Muy Temprano
Sondre Lerche,Goodnight
Gold Panda,Bad Day Bad Loop
Wu-Tang Clan,Radioactive (Four Assassins)
The Most Serene Republic,Four Humours
Elvis Perkins,Good Friday
Pat Metheny Group,Unity Village (Live) (Album Version)
Pet Shop Boys,Miserablism (2001 Digital Remaster)
Matmatah,La complainte de Fanch
Ulver,Hallways Of Always
Digable Planets,The Art of Easing
Scott Weiland,Lady_ Your Roof Brings Me Down ( LP Version )
The Spill Canvas,Himerus and Eros (Album Version)
Santo Barrio,La Favorita
I Roy,Send Us Little Power Oh Jah (1991 Digital Remaster)
Celtic Woman,Beyond The Sea
Conor Oberst,Big Black Nothing
Melanie Fiona,Please Dont Go (Cry Baby)
I Am Kloot,Over my shoulder
Future Prophecies,Dreadlock
Imelda May,Falling In Love With You Again
Steel Pulse,Bad Man
The Stone Roses,Don't Stop
Beenie Man,Certain Gal
Maps & Atlases,Stories About Ourselves
Slash's Snakepit,Neither Can I
Charles Mingus,Tonight At Noon
Archers Of Loaf,Learo_ You're A Hole
Air,Se Vuoi Capire La Loro Storia
Peter Case,Two Angels
Tree,Freedom Rock
Les Hurlements D'leo,Toujours
Kenny,The Bump
Opeth,The Drapery Falls
Alexia Bomtempo,Roxanne
Tino Casal,Champú De Huevo
Ratatat,Mahalo
Márcio Faraco,Na Casa Do Seu Humberto
Nickelback,Old Enough (Album Version)
Breathe Carolina,Can I Take You Home?
Sondre Lerche,Like Lazenby
Rafet El Roman,Kaybolan Cennet
Erasure,Because You're So Sweet
DevilDriver,Monsters Of The Deep [Explicit]
Les Misérables - 10th Anniversary Concert,Lovely Ladies
Speedometer,Time For Change
At The Drive-In,Napoleon Solo
Héroes del Silencio,Oración
Rodolfo Y Su Tipica Ra7,La Colegiala
George Benson / Al Jarreau,Givin' It Up For Love
Drowning Pool,All About Me
The Yardbirds,Happenings Ten Years Time Ago
Ashford & Simpson,Solid
Children Of Bodom,One Day You Will Cry
The Shaky Hands,Show Me Your Life
Rex The Dog,Sequencer
Burning Spear,Old Marcus Garvey
Gerry Rafferty,Right Down The Line
Mobbing,Ohm-O-Genik
Eddy Current Suppression Ring,Which Way to Go
Rufio,Selfishness
Better Luck Next Time,Half Past Forever
Stephen Lynch,Vanilla Ice Cream
keller williams,Alligator Alley
Eric Roberson,Weekend Getaway
The Herbaliser,Another Mother
The Rembrandts,Maybe Tomorrow
Celtic Frost,Visual Aggression
Massive Attack,Sly (Cosmic Dub)
Aesop Rock,Frijoles
The War On Drugs,Coast Reprise
Dragonette,Liar
Neko Case,A Widow's Toast
Matt Costa,Josephine
The Misfits,Theme For A Jackal
Aldebert,La Norme Et La Marge
Fennesz,Made In Hong Kong
Thee Hypnotics,Half Man Half Boy
Underoath,Emergency Broadcast: The End Is Near
The Pierces,Ruin
Mike Stern,Common Ground (LP Version)
Wet Wet Wet,Julia Says
Atlas Sound,Let The Blind Lead Those Who Can See But Cannot Feel
Freak Power,Big Time
The Clash,First Night Back In London
Suzi Quatro,I've Never Been In Love
Dashboard Confessional,Standard Lines
The Hickey Underworld,Blonde Fire
Bobby McFerrin,I'm My Own Walkman (Live Version)
Asher Roth / Keri Hilson,She Dont Wanna Man
Eric Roberson,Pretty Girl
Wednesday 13,Elect Death For President (Album Version)
DL Incognito,The Ending (Feat. Chris Styles)
Cluster,Dem Wanderer
Michael Bolton,Time_ Love And Tenderness
Wagon Christ,The Premise
Amberian Dawn,Birth of the Harp
Split Enz,Another Great Divide
Hello Saferide,Saturday Nights
Damageplan,Explode (Amended Version)
Gorilla Zoe featuring Yung Joc,Take Your Shoes Off featuring Yung Joc (Explicit Album Version)
Expatriate,Gotta Get Home
The Young Rascals,In The Midnight Hour (LP Version)
Infected Mushroom,Echonomix
yoomiii,Show Me Love
STEVE TAYLOR,Drive_ He Said  (On The Fritz Album Version)
Hepcat,Tommy's Song
Black Label Society,13 Years Of Grief
Francisca Valenzuela,Muleta
Tunng,It's Because&We've Got Hair (Album Version)
Bangles,Angels Don't Fall In Love
Jean Elan,Killer
Blue Man Group,Rock Concert Movement #237 (Live Album Version)
Les Ogres De Barback,Monde en or
Hothouse Flowers,Love Don't Work This Way
Franz Ferdinand,Cheating On You
Motel Motel,Vietnam
Ziggy Marley And The Melody Makers,Get Up Jah Jah Children
The Notorious B.I.G.,Big Booty Hoes (Featuring Too $hort) (Album Version)
Alesana,In Her Tomb By The Sounding Sea
FRANK T,Manana
Sparta,Weather The Storm
Lifehouse,The End Has Only Begun
Colour Revolt,Naked & Red
Curiosity Killed The Cat,Down To Earth
Thievery Corporation,The Heart's a Lonely Hunter
Above The Law,Murder Rap
Silver Apples,Dancing Gods
Ashanti,Where I Stand
Andres Calamaro,La mitad del amor
Zeromancer,Something For The Pain
Sleater-kinney,Combat Rock
Jenny Owen Youngs,Fuck Was I
Wilson Simonal,Tudo De Você
C.J. Lewis,Sweets For My Sweet
Carpark North,Newborn
The White Stripes,Let's Shake Hands
Birdy Nam Nam,Engineer Fear
Queens Of The Stone Age,Long Slow Goodbye
Semisonic,Chemistry
DJ Vadim,Beijos ft. Heidi Vogel
Todd Agnew,Joy Unspeakable
Eva Cassidy,Fever
Sesto Sento,Sneaky Sneaky
Jamie T,Pacemaker (Explicit)
Kottonmouth Kings,Where Da Weed At
The Ventures,The Lonely Bull
The Hives,Giddy Up!
Mando Diao,Ringing Bells
Basia Bulat,Little Waltz
Tom Vek,If You Want
Mike Ness,Misery Loves Company (Album)
Tech N9ne,Show Me A God
El Cuarteto De Nos,Me Amo
Obie Bermudez,El Millionario (Intro)
Yanou,Brighter Day
The Crimea,Lottery Winners On Acid (Album Version)
Nick Drake,Cocaine Blues
Smile Empty Soul,Silhouettes (Edited Album Version)
Surfer Blood,Take It Easy
The Rocket Summer,TV Family
Marisa Monte,A Alma E A Materia
Haloo Helsinki!,Rakkauden jälkeen
Klaxons,Interzone to Golden Skans (SO ME Remix)
Chick Corea / Gary Burton,No Mystery
Booka Shade,Duke
Ornatos Violeta,Nuvem
Soulja Boy Tell'em,Report Card
Tanlines,Power Everything
mewithoutYou,The Angel Of Death Came To David's Room
Tori Amos,Carbon
Tanya Donelly,Kundalini Slide
Anjulie,Fatal Attraction
J Mascis,All The Girls
General Electrics,Frost On Your Sunglasses
Owen Pallett,Lewis Takes Action
Moya Brennan,Show Me
Biréli Lagrène,Stella by starlight
Bobby McFerrin,Kalimba Suite
Badly Drawn Boy,Another Pearl
Charles Musselwhite,Christo Redemptor
Lit,A Place In The Sun
Alanis Morissette,Mary Jane (Acoustic Album Version)
Skarhead,D.F.F.
San Pascualito Rey,Cerquita de Dios
Peter Rowan,I Believed in You Darling
Alliance Ethnik,La Parole Est À La Défonce (Interlude)
M83,Unrecorded
Pantera,You've Got To Belong To It (LP Version)
Toro Y Moi,Fax Shadow
Héroes del Silencio,Fuente Esperanza (Live)
Enrique Iglesias,No Apagues La Luz
Queensryche,Resistance (2002 Digital Remaster)
Cory Lee,The Naughty Song
Cross Canadian Ragweed,Sick And Tired
John Coltrane Quartet,Out Of This World
León Gieco,La Navidad De Luis
Brad Paisley,Make A Mistake
Cibo Matto,Apple (Album Version)
The Felice Brothers,Helen Fry
Gwen Stefani / Andre 3000,Long Way To Go
Edith Márquez,Aire
Martha Wainwright,So Many Friends
The Tremeloes,Right Wheel_ Left Hammer_ Sham
Wilki,Przepraszam Cie_ Zycie Takie Jest
Deep Dish,Flashdance
Café Tacvba,Debajo del mar
Ashley Tisdale/High School Musical Cast/Jemma McKenzie-Brown/Lucas Grabeel/Matt Prokop/Olesya Rulin/Vanessa Hudgens/Zac Efron,Senior Year Spring Musical
The Tyde,New D
Starflyer 59,Too Much Fun
Prince & The Revolution,Raspberry Beret (LP Version)
Diana Krall,Dancing In The Dark
Laurel & Hardy,At the Ball_ That's All
Elizabeth Daily,Shake It Up
Brazilian Girls,Never Met A German
The Wonder Years,Everything I Own Fits In This Backpack
Fito Paez,Tres Agujas
Rebirth Brass Band_ Cheeky Blakk,Pop That Pussy
Attack,Två av Oss
O Rappa,Linha Vermelha
Mississippi John Hurt,Chicken (Live)
Gandalf,In The Presence Of Angels
Nick Lowe,Withered On The Vine
Boredoms,Super Going
La Barranca,La fuga de Ruben
Patrick Wolf,Get Lost
Chris Botti (featuring Shawn Colvin),All Would Envy
Deep Forest;Angela McClusky,Will you be ready
Clint Black,You Don't Need Me Now
Herman Dune,In The Summer Camp
C-Murder,Akickdoe!
North Mississippi All Stars,Skinny Woman
Ayo,Without You
This Providence,A Wolf In Sheep's Clothing
Zap Mama,Mupepe
Ottmar Liebert,Sapo (Old Man Nods His Head)
Burning Spear,Farover
Desorden Público,Gorilón
Jessica Lea Mayfield,Greater Heights
Gang Of Four,In The Ditch
The Gathering,Liberty Bell
Javier Navarrete,A Tale
Joan Jett & The Blackhearts,Back It Up
Rosana,Descubriendote
Annie Lennox,Why
The Raveonettes,Somewhere In Texas
Tiga,(Far From) Home
Devendra Banhart,Wake Up_ Little Sparrow
Silverio,XXX
Blind Melon,New Life
Mark Knopfler,Working On It
None More Black,You Suck! But Your Peanut Butter's OK
Jack McDuff,The Shadow Of Your Smile (Remastered Album Version)
& And Oceans,Catharsis: End Of Organisms: Absolute Purification Of Sins
Hawk Nelson,You Have What I Need
The White Stripes,Wasting My Time (Album Version)
Stray Cats,Rumble In Brighton
Elvis Crespo,Lloré Y Lloré
De-Phazz,Nu Chic
Free,The Stealer
Matt Pond PA,It Is Safe (Album Version)
Boyz II Men,Silent Night
The Dead Weather,Looking At The Invisible Man (Album Version)
Rob Zombie,Spookshow Baby
Björk,Army Of Me (ABA All-Stars Mix)
The Clientele,Since K Got Over Me
Teddybears Sthlm,Yours To Keep
Hello Goodbye,Highway Kind
The Members,G.L.C.
Blake Shelton,Playboys Of The Southwestern World (Album Version)
Micatone,Circle
Poe,Control
DIVOKEJ BILL,BECHOVICE
Warren Zevon,Mama Couldn't Be Persuaded
Fly My Pretties,Lets Roll
Marilyn Manson,Dogma
Clint Mansell,Go To Hell
Cassandra Wilson,Vietnam Blues
Tilly & The Wall,Pot Kettle Black
N.W.A.,A Bitch Iz A Bitch (Explicit) (Digitally Remastered 02)
Patrick Watson,Hommage
Zapp & Roger,Slow And Easy
RJD2,Reality
Michael McDonald,For A Child (LP Version)
Trentemøller,Kink
Glen Gray & The Casa Loma Orchestra,No Name Jive
The Duhks,Du Temps que J'epais Juene
The Urge,If I Were You
Silversun Pickups,Little Lover's So Polite [The One Am Radio Remix]
Minus The Bear,Double Vision
Archie Bronson Outfit,Got To Get (Your Eyes)
Fun Lovin' Criminals,Up On The Hill (Explicit)
Hayley Westenra / Humphrey Berney,Le Notte Del Silenzio
Quietdrive,Into The Ocean
Liz Phair,Girls' Room
Seven Mary Three,Rock Crown (LP Version)
The Crystal Method,Busy Child
The Bloody Beetroots,Anacletus
Muddy Waters;Johnny Winter;James Cotton,Got My Mojo Workin'
Eri2,Whatever Whatever
Love and Rockets,Dreamtime
Fat Jon,Rain Dance
Jamiroquai,Main Vein
The Wildhearts,The New Flesh
Charly García,Ojos De Video Tape
Lil Wayne / Kevin Rudolf,One Way Trip
The Swell Season,Leave (Live)
Dead Kennedys,Cesspools In Eden
Aimee Mann,Save Me (Album Version)
The Cranberries,Saving Grace
Graeme Revell,Believe In Angels
The Jim Jones Revue,512
Binomio de Oro de América,Me Vas A Extrañar
Renee Olstead,Breaking Up Is Hard To Do (Album Version)
Patrick Watson,Beijing
Alice In Chains,A Little Bitter
Snow Patrol,Spitting Games
Dead Poetic,Copy Of A Copy
Pereza,Madrid
Jars Of Clay,They'll Know We Are Christians By Our Love
Kids In The Way,Better Times
Mighty Mighty Bosstones,Bad In Plaid
School Food Punishment,Flow
Silence 4,Angel Song
The Number Twelve Looks Like You,Empty Calm
Bersuit Vergarabat,El Viento Trae Una Copla / Siempre Triunfará El Amor
Jan Johnston,Sleeping Satelitte
Ol' Dirty Bastard,The Stomp [Explicit Version]
Chingy,Wurrs My Cash
Nebula,Beyond
Ellen Allien,Come
Heatbeat,Paradise Garage
Saliva,I Walk Alone
The Associates,Mona Property Girl
Lemon Jelly,Stay With You
Rancid,Get Out Of My Way (Album Version)
Recoil,Supreme (2010 Digital Remaster)
Midlake,Branches
Radar Brothers,Papillon
Willie Colon,La murga
Us3,Lazy Day
Night In Gales,Of Beauty's Embrace
Gabriel Yared_Hiam Abbass,La chanson d'Azur et Asmar (VO)
Hip Hop Pantsula,Maak Om '07 Mix
Pornopop,Death Tape
DMX,Crime Story
Missy Higgins,Greed For Your Love (EP Version)
Hisham Abbas,Habibi Dah (Nari Narein)
See You Next Tuesday,How to Survive a Vicious Cock Fight
Spoken,When Hope Is All You Have
Ted Nugent,Don't You Want My Love
Los Fabulosos Cadillacs,Roble
Arctic Monkeys,Bad Woman
Darren Hayes,Neverland
Sevendust,Crucified
Nightrage,In My Heart
Whiskeytown,What The Devil Wanted
Reel Big Fish,I'll Never Be
Melissa Auf der Maur,This Would Be Paradise
The Zombies,I Want Her She Wants Me
Kansas,Perfect Lover
Burkhard Dallwitz,Truman Sleeps
Braid,Wax Wings
Lalah Hathaway,Obvious
Lach,Crazy House
Dionne Warwick,Promises_ Promises (LP Version)
The Dead Weather,Gasoline (Album Version)
The Roots,Something In The Way Of Things (In Town)
Cloud Cult,Took You For Granted
Studio,Radio Edit
Ensiferum,Battle Song
Gillian Welch,Annabelle
Paul Westerberg,Runaway Wind (Album Version)
George Clinton and Parliament,Not Just Knee Deep
Lighthouse Family,What Could Be Better
José James,DETROIT LOVELETTER
Avant,Read Your Mind
Long Beach Dub Allstars,Every Mother's Dream
Joan Baez,I Am A Wanderer (Album Version)
La Barranca,Deja vu
Robbie Williams,Not Of This Earth
Soundgarden,Fresh Tendrils
Vienna Teng,Recessional
Officer Negative,Reality Of Emptiness
Deftones,MX (LP Version w/ Hidden track "Damone")
Toy-Box,Best Friend
Booka Shade,Vertigo
Rainbow,All Night Long
Local H,Eddie Vedder
Noir Désir,Des Armes
Kaya Project,Labess (Vocals By Irina Mikhailova)
Sade,Bulletproof Soul
Weezer,The Damage In Your Heart
Talib Kweli / Hi-Tek,Expansion Outro
Sleeping Giant,Behold The Pale Horse
Britney Spears,Toy Soldier
The 69 Eyes,Stigmata
Ken Laszlo,Tonight
Liliana Herrero,Oración Del Remanso
Eric B. & Rakim,My Melody
O Rappa,Minha Alma (A Paz Que Eu Não Quero)
Glasseater,Nonsense To You_ Everything To Us
Dick Dale,Calling Up Spirits
El sueño de Morfeo,Para toda la vida
M83,Sitting
Leo Gandelman,A Ra
Robbie Williams,Appliance Of Science
Vinnie Paz,Washed in the Blood of the Lamb
Steve Bug,Smackman
Cut Copy,Lights & Music
Slayer,The Final Command
Franz Ferdinand,Fade Together
Okkervil River,Black Sheep Boy #4
Sheila Chandra,Nada Brahma (Excerpt)
Revolver,Lisa Y Fran
O Rappa,Pescador De Ilusões
Das Ich,Gottes Tod
Elio E Le Storie Tese,Cassonetto Differenziato Per Il Frutto Del Peccato
Stakka Bo,High and Low
Agnostic Front,Gotta Go
Miami Horror,Bellevue
Sergio Mendes,Nana (LP Version)
Lispector,Ice Cream Man
Converge,Home Song
Chris Cornell,Today
Teoman,Kupa Kizi Ve Sinek Valesi
John Mellencamp,Without A Shot
MARC COHN,Olana (LP Version)
Lisa Shaw,I'm Okay (Album)
Kymani Marley,Nice Time
Extreme,Cupid's Dead
Nostalgia 77,Quiet Dawn
Moubaraka,Moi j'ai pas
John Mellencamp,Without Expression
Bee Gees,I.O.I.O.
Coheed and Cambria,The Lying Lies & Dirty Secrets of Miss Erica Court
Medeski_ Martin & Wood,Queen Bee
Simple Plan,I Won't Be There (Album Version)
Bayside,Carry On (Album Version)
Sevendust,Separate
The Strike,Royal Albert Arms (Album Version)
Keith Jarrett_ Gary Peacock_ Jack DeJohnette,From The Body
Traffic,Hole In My Shoe
Papas Da Língua,Ela Vai Passar
JET,Goodbye Hollywood
A.C.T,No Longer Touching Ground
Mitch Hedberg,Three Easy Payments (LP Version)
Spencer Brewer,Lunar Monsoon
Camera Obscura,Modern Girl
Chevelle,It's No Good
Cypress Hill,Certified Bomb
Ananda Shankar,Light My Fire (Album Version)
Bersuit Vergarabat,Zi Zi Zi
Hayes Carll,I Don't Wanna Grow Up
Andres Calamaro,Malena
Massive Attack,I Spy (Spying Glass)
Against Me!,Slurring The Rhythms
The Koffin Kats,Mors Ex Supera
SNFU,Don't Have The Cow
Eyedea & Abilities,Sky Diver
Dragonforce,Scars of Yesterday (Album Version)
The Aqua Velvets,Casbah Club
Maria Rita,Lavadeira Do Rio
Blonde Redhead,Doll Is Mine
Extrawelt,Trümmerfeld
Fort Minor (Featuring Celph Titled),The Battle (Album Version)
Of Montreal,Spike The Senses (LP Version)
Toy Dolls,Do You Wanna Be Like Dougy Bell
Shurik'n,Les Miens
Remembering Never,Slaughterhouse Blues
Nada Surf,Mother's Day
Dark Side Cowboys,Deep
Primal Scream,Beautiful Summer
Mindy Smith,Hard To Know
Lycia,Pray
Queens Club,An Apparition
Otis Spann,Bad Condition
Bersuit Vergarabat,Homenaje a los locos del borda
Wave Machines,You Say The Stupidest Things
Tomas Bodin,Back To The African Garden
Vanilla Ice,I Love You
The Trews,Gun Control
Tree,Pay
Lisa Gerrard_Patrick Cassidy,Elegy
Joe Cocker,Summer In The City
Bigwig,Moosh
Catherine Wheel,Broken Nose
The Libertines,Don't Be Shy
Sondre Lerche,Maybe You're Gone
Family Force 5,Share It With Me
Ween,Polka Dot Tail (LP Version)
Feeltz & Leo feat. Aneym,Mistaken
Chimaira,Overlooked (Album Version)
Zero 7,Sleeper
Earth Crisis,Deliverance (Album Version)
Vernessa Mitchell,Took My Life
The Fire Theft,Summertime (Album Version)
Doves,Break Me Gently (Incidental)
Lou Reed,Overture (Album Version)
The Yardbirds,Mr Saboteur
Lamb Of God,Now You've Got Something To Die For
The Highwaymen,It Is What It Is
Manuel Donayre,Yo No Soy Jaqui
Snow Patrol,Spitting Games
Róisín Murphy,Checkin' On Me
Lil Keke,I Keep Grinding
Charles Aznavour,Monsieur Est Mort
Verka Serduchka,Dancing Lasha tumbai
The Heptones,Party Time
Eyedea & Abilities,Burn Fetish
Little People,Basique
The Faint,Cars Pass In Cold Blood
Pinetop Perkins,Got My Mojo Working
Unearth,Endless
Meiju Suvas,Pure mua
SFDK,Diario de hotel
Kenny G featuring Bebel Gilberto,The Girl From Ipanema
Kid Dynamite,Zuko's Back In Town
Dolores O'Riordan,It's You
Mylo,Zenophile
MORS PRINCIPIUM EST,Life in black
Roni Size,Keep Strong
Burzum,The Crying Orc
Elliott Smith,Bye
Mystikal featuring Silkk The Shocker,Ain't No Limit
Alizée,A Contre-Courant
Soul Coughing,The Idiot Kings
The Jimmy Castor Bunch,Potential
Mariah Carey,Fantasy
Eels,Your Lucky Day In Hell
The Silos,Behind Me Now
Cult Of Luna,The Lure (Interlude)
The Libertines,Last Post On The Bugle
Hieroglyphics,Jingle Jangle
The Boomtown Rats,Never In A Million Years
The Unseen,No Direction
Thievery Corporation,The Heart's a Lonely Hunter featuring David Byrne
Shearwater,The World In 1984
OTT,The Queen Of All Everything
The Morning Of,Shine
Rivers Cuomo,Cold And Damp
Why?,Darla
Hellsongs,We'Re Not Gonna Take It
Laura Branigan,Breaking Out
A Flock Of Seagulls,Wishing (If I Had A Photograph Of You)
The Bamboos,Keep Me In Mind
N-Dubz,Sex
Braid,Eeyore and Easel
The Casualties,Carry on the Flag
New Order,Denial
Alex Ubago,Ahora Que No Estas
Outputmessage,Switch
Alejandro Sanz,Hoy Que No Estas
Django Asül,Finaler Konter
Earl Bostic,East of the Sun
The Velvet Underground,Andy's Chest
Shocking Pinks,Cutout
Propagandhi,Hidden Curriculum
Cloud Cult,Lights Inside My Head
Essie Jain,Sailor
the bird and the bee,F-cking Boyfriend (Edited)
Fear Factory,Scumgrief (Album Version)
Ween,Dr. Rock
Bentley Rhythm Ace,Ragtopskodacarchase
The Doobie Brothers,Double Dealin' Four Flusher (Album Version)
The Adicts,California
Les Trois Accords,Tout Nu Sur La Plage
Suzanne Vega,Neighborhood Girls
Metronomy,Radio Ladio [Radioclit Swedish Remix]
Outputmessage,Glintz
